supplier,rate_card_key,decoration_method,applies_to,artwork_size_label,stitch_count_min,stitch_count_max,min_qty,max_qty,unit_cost,setup_cost,repeat_setup_cost,pricing_basis,price_status,surcharge_note,source_row_number,raw_price
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,8001,9000,300,399,5.20,75.00,,per_stitch_band,priced,Some items +$1.90/unit,299,$5.20
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,8001,9000,400,499,4.95,75.00,,per_stitch_band,priced,Some items +$1.90/unit,299,$4.95
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,8001,9000,500,599,4.70,75.00,,per_stitch_band,priced,Some items +$1.90/unit,299,$4.70
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,8001,9000,600,699,4.45,75.00,,per_stitch_band,priced,Some items +$1.90/unit,299,$4.45
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,8001,9000,700,,,75.00,,per_stitch_band,poa,Some items +$1.90/unit,299,POA
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,9001,10000,25,49,8.85,75.00,,per_stitch_band,priced,Some items +$1.90/unit,300,$8.85
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,9001,10000,50,99,6.50,75.00,,per_stitch_band,priced,Some items +$1.90/unit,300,$6.50
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,9001,10000,100,199,6.00,75.00,,per_stitch_band,priced,Some items +$1.90/unit,300,$6.00
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,9001,10000,200,299,5.75,75.00,,per_stitch_band,priced,Some items +$1.90/unit,300,$5.75
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,9001,10000,300,399,5.50,75.00,,per_stitch_band,priced,Some items +$1.90/unit,300,$5.50
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,9001,10000,400,499,5.20,75.00,,per_stitch_band,priced,Some items +$1.90/unit,300,$5.20
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,9001,10000,500,599,4.95,75.00,,per_stitch_band,priced,Some items +$1.90/unit,300,$4.95
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,9001,10000,600,699,4.70,75.00,,per_stitch_band,priced,Some items +$1.90/unit,300,$4.70
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,9001,10000,700,,,75.00,,per_stitch_band,poa,Some items +$1.90/unit,300,POA
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,10001,11000,25,49,9.50,75.00,,per_stitch_band,priced,Some items +$1.90/unit,301,$9.50
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,10001,11000,50,99,6.80,75.00,,per_stitch_band,priced,Some items +$1.90/unit,301,$6.80
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,10001,11000,100,199,6.25,75.00,,per_stitch_band,priced,Some items +$1.90/unit,301,$6.25
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,10001,11000,200,299,6.00,75.00,,per_stitch_band,priced,Some items +$1.90/unit,301,$6.00
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,10001,11000,300,399,5.75,75.00,,per_stitch_band,priced,Some items +$1.90/unit,301,$5.75
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,10001,11000,400,499,5.50,75.00,,per_stitch_band,priced,Some items +$1.90/unit,301,$5.50
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,10001,11000,500,599,5.20,75.00,,per_stitch_band,priced,Some items +$1.90/unit,301,$5.20
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,10001,11000,600,699,4.95,75.00,,per_stitch_band,priced,Some items +$1.90/unit,301,$4.95
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,10001,11000,700,,,75.00,,per_stitch_band,poa,Some items +$1.90/unit,301,POA
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,11001,12000,25,49,10.15,75.00,,per_stitch_band,priced,Some items +$1.90/unit,302,$10.15
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,11001,12000,50,99,7.05,75.00,,per_stitch_band,priced,Some items +$1.90/unit,302,$7.05
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,11001,12000,100,199,6.50,75.00,,per_stitch_band,priced,Some items +$1.90/unit,302,$6.50
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,11001,12000,200,299,6.25,75.00,,per_stitch_band,priced,Some items +$1.90/unit,302,$6.25
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,11001,12000,300,399,6.00,75.00,,per_stitch_band,priced,Some items +$1.90/unit,302,$6.00
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,11001,12000,400,499,5.75,75.00,,per_stitch_band,priced,Some items +$1.90/unit,302,$5.75
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,11001,12000,500,599,5.50,75.00,,per_stitch_band,priced,Some items +$1.90/unit,302,$5.50
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,11001,12000,600,699,5.20,75.00,,per_stitch_band,priced,Some items +$1.90/unit,302,$5.20
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,11001,12000,700,,,75.00,,per_stitch_band,poa,Some items +$1.90/unit,302,POA
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,12001,13000,25,49,10.80,75.00,,per_stitch_band,priced,Some items +$1.90/unit,303,$10.80
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,12001,13000,50,99,7.30,75.00,,per_stitch_band,priced,Some items +$1.90/unit,303,$7.30
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,12001,13000,100,199,6.80,75.00,,per_stitch_band,priced,Some items +$1.90/unit,303,$6.80
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,12001,13000,200,299,6.50,75.00,,per_stitch_band,priced,Some items +$1.90/unit,303,$6.50
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,12001,13000,300,399,6.25,75.00,,per_stitch_band,priced,Some items +$1.90/unit,303,$6.25
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,12001,13000,400,499,6.00,75.00,,per_stitch_band,priced,Some items +$1.90/unit,303,$6.00
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,12001,13000,500,599,5.75,75.00,,per_stitch_band,priced,Some items +$1.90/unit,303,$5.75
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,12001,13000,600,699,5.50,75.00,,per_stitch_band,priced,Some items +$1.90/unit,303,$5.50
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,12001,13000,700,,,75.00,,per_stitch_band,poa,Some items +$1.90/unit,303,POA
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,13001,14000,25,49,11.45,75.00,,per_stitch_band,priced,Some items +$1.90/unit,304,$11.45
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,13001,14000,50,99,7.55,75.00,,per_stitch_band,priced,Some items +$1.90/unit,304,$7.55
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,13001,14000,100,199,7.05,75.00,,per_stitch_band,priced,Some items +$1.90/unit,304,$7.05
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,13001,14000,200,299,6.80,75.00,,per_stitch_band,priced,Some items +$1.90/unit,304,$6.80
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,13001,14000,300,399,6.50,75.00,,per_stitch_band,priced,Some items +$1.90/unit,304,$6.50
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,13001,14000,400,499,6.25,75.00,,per_stitch_band,priced,Some items +$1.90/unit,304,$6.25
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,13001,14000,500,599,6.00,75.00,,per_stitch_band,priced,Some items +$1.90/unit,304,$6.00
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,13001,14000,600,699,5.75,75.00,,per_stitch_band,priced,Some items +$1.90/unit,304,$5.75
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,13001,14000,700,,,75.00,,per_stitch_band,poa,Some items +$1.90/unit,304,POA
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,14001,15000,25,49,12.10,75.00,,per_stitch_band,priced,Some items +$1.90/unit,305,$12.10
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,14001,15000,50,99,7.80,75.00,,per_stitch_band,priced,Some items +$1.90/unit,305,$7.80
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,14001,15000,100,199,7.30,75.00,,per_stitch_band,priced,Some items +$1.90/unit,305,$7.30
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,14001,15000,200,299,7.05,75.00,,per_stitch_band,priced,Some items +$1.90/unit,305,$7.05
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,14001,15000,300,399,6.80,75.00,,per_stitch_band,priced,Some items +$1.90/unit,305,$6.80
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,14001,15000,400,499,6.50,75.00,,per_stitch_band,priced,Some items +$1.90/unit,305,$6.50
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,14001,15000,500,599,6.25,75.00,,per_stitch_band,priced,Some items +$1.90/unit,305,$6.25
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,14001,15000,600,699,6.00,75.00,,per_stitch_band,priced,Some items +$1.90/unit,305,$6.00
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,14001,15000,700,,,75.00,,per_stitch_band,poa,Some items +$1.90/unit,305,POA
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,15001,,25,49,,75.00,,per_stitch_band,poa,Some items +$1.90/unit,306,POA
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,15001,,50,99,,75.00,,per_stitch_band,poa,Some items +$1.90/unit,306,POA
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,15001,,100,199,,75.00,,per_stitch_band,poa,Some items +$1.90/unit,306,POA
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,15001,,200,299,,75.00,,per_stitch_band,poa,Some items +$1.90/unit,306,POA
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,15001,,300,399,,75.00,,per_stitch_band,poa,Some items +$1.90/unit,306,POA
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,15001,,400,499,,75.00,,per_stitch_band,poa,Some items +$1.90/unit,306,POA
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,15001,,500,599,,75.00,,per_stitch_band,poa,Some items +$1.90/unit,306,POA
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,15001,,600,699,,75.00,,per_stitch_band,poa,Some items +$1.90/unit,306,POA
Gear For Life,embroidery_apparel_selected_bags,Embroidery,Apparel and selected bags,,15001,,700,,,75.00,,per_stitch_band,poa,Some items +$1.90/unit,306,POA
