slug,page_type,source_type,source_label,filter_type,required_product_fields,product_filter
tech-accessories-australia,product_category,subcategory,Technology > Tech Accessories,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Technology"",""subcategory"":""Tech Accessories""}"
custom-caps-australia,product_category,subcategory,Headwear > Caps,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Headwear"",""subcategory"":""Caps""}"
custom-beanies-australia,product_category,subcategory,Headwear > Beanies,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Headwear"",""subcategory"":""Beanies""}"
custom-bucket-hats-australia,product_category,subcategory,Headwear > Bucket Hats,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Headwear"",""subcategory"":""Bucket Hats""}"
custom-wide-brim-hats-australia,product_category,subcategory,Headwear > Wide Brim Hats,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Headwear"",""subcategory"":""Wide Brim Hats""}"
straw-hats-australia,product_category,subcategory,Headwear > Straw Hats,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Headwear"",""subcategory"":""Straw Hats""}"
custom-visors-australia,product_category,subcategory,Headwear > Visors,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Headwear"",""subcategory"":""Visors""}"
novelty-headwear-australia,product_category,subcategory,Headwear > Novelty Headwear,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Headwear"",""subcategory"":""Novelty Headwear""}"
custom-gift-boxes-australia,product_category,subcategory,Packaging > Gift Boxes,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Packaging"",""subcategory"":""Gift Boxes""}"
custom-gift-bags-australia,product_category,subcategory,Packaging > Gift Bags,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Packaging"",""subcategory"":""Gift Bags""}"
gift-tubes-australia,product_category,subcategory,Packaging > Gift Tubes,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Packaging"",""subcategory"":""Gift Tubes""}"
custom-pouches-australia,product_category,subcategory,Packaging > Pouches,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Packaging"",""subcategory"":""Pouches""}"
custom-tissue-paper-australia,product_category,subcategory,Packaging > Tissue & Wrapping,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Packaging"",""subcategory"":""Tissue & Wrapping""}"
ribbons-and-gift-tags-australia,product_category,subcategory,Packaging > Ribbons & Gift Tags,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Packaging"",""subcategory"":""Ribbons & Gift Tags""}"
greeting-cards-australia,product_category,subcategory,Packaging > Greeting & Gift Cards,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Packaging"",""subcategory"":""Greeting & Gift Cards""}"
custom-lip-balm-australia,product_category,subcategory,Personal Care > Lip Balms,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Personal Care"",""subcategory"":""Lip Balms""}"
custom-hand-sanitiser-australia,product_category,subcategory,Personal Care > Hand Sanitiser,subcategory,category; is_published; subcategory,"{""type"":""subcategory"",""category"":""Personal Care"",""subcategory"":""Hand Sanitiser""}"
