supplier,source_field,raw_category_path,sku,product_name,mapping_status,target_category,target_subcategory,confidence,rule_id,review_reason,suggested_tags,suggested_material,mapping_note
Logoline,Collection + Category + SubCategory,Drinkware / Drinkware Accessories,LL8779,Sippy Telescopic Straw,auto_mapped_by_keyword,Barware & Accessories,Bar Accessories,0.86,BAR-060,,,,
Logoline,Collection + Category + SubCategory,Drinkware / Drinkware Accessories,LL8781,Fizz Straw Set,auto_mapped_by_keyword,Barware & Accessories,Bar Accessories,0.86,BAR-060,,,,
Logoline,Collection + Category + SubCategory,Drinkware / Drinkware Accessories,LL8782,Mojito Straw Set,auto_mapped_by_keyword,Barware & Accessories,Bar Accessories,0.86,BAR-060,,,,
Logoline,Collection + Category + SubCategory,Drinkware / Drinkware Accessories,LL8783,Microfibre Drawstring Pouch,auto_mapped_by_keyword,Bags,Drawstring Bags,0.9,BAG-050,,,,
Logoline,Collection + Category + SubCategory,Drinkware / Drinkware Accessories,LL8785,Silicone Straw in Case,auto_mapped_by_keyword,Barware & Accessories,Bar Accessories,0.86,BAR-060,,,,
Logoline,Collection + Category + SubCategory,Drinkware / Drinkware Accessories,LL9360,Quench Bottle Opener / Coaster,auto_mapped_by_keyword,Barware & Accessories,Bottle Openers,0.95,BAR-010,,,,
Logoline,Collection + Category + SubCategory,Drinkware / Gift Sets,LL2230,Elite Gift Set with Hip Flask,needs_review,,,,,gift set/hamper/pack needs manual bundle strategy,,,
Logoline,Collection + Category + SubCategory,Drinkware / Gift Sets,LL8292,Eco Pack,needs_review,,,,,gift set/hamper/pack needs manual bundle strategy,,,
Logoline,Collection + Category + SubCategory,Drinkware / Gift Sets,LL8293,Exec Gift Pack,needs_review,,,,,gift set/hamper/pack needs manual bundle strategy,,,
Logoline,Collection + Category + SubCategory,Drinkware / Gift Sets,LL8294,Espresso Coffee Cup and Speaker Pack,auto_mapped_by_keyword,Technology,Bluetooth Speakers,0.93,TECH-040,,,,
Logoline,Collection + Category + SubCategory,Drinkware / Gift Sets,LL8300,Picnic Pack,needs_review,,,,,gift set/hamper/pack needs manual bundle strategy,,,
Logoline,Collection + Category + SubCategory,Drinkware / Gift Sets,LL845,Gift Box Extra Large Natural,auto_mapped_by_keyword,Packaging,Gift Boxes,0.84,PKG-010,,,,
Logoline,Collection + Category + SubCategory,Drinkware / Gift Sets,LL8451,Pura Cardboard Gift Set,needs_review,,,,,no high-confidence keyword match,,,
Logoline,Collection + Category + SubCategory,Lifestyle / Bat & Balls,LL3011,Hi Bounce Tennis Ball,auto_mapped_by_keyword,Outdoor & Sports,Sports Products,0.86,OUT-040,,,,
Logoline,Collection + Category + SubCategory,Lifestyle / Bat & Balls,LL3012,Hi Bounce Soccer Ball,auto_mapped_by_keyword,Outdoor & Sports,Sports Products,0.86,OUT-040,,,,
Logoline,Collection + Category + SubCategory,Lifestyle / Bat & Balls,LL3013,Hi Bounce Basketball,auto_mapped_by_keyword,Outdoor & Sports,Sports Products,0.86,OUT-040,,,,
Logoline,Collection + Category + SubCategory,Lifestyle / Bat & Balls,LL3014,Hi Bounce Ball,auto_mapped_by_keyword,Toys & Games,Outdoor Toys,0.9,TOY-050,,,,
Logoline,Collection + Category + SubCategory,Lifestyle / Bat & Balls,LL3111,Pickleball Set,auto_mapped_by_keyword,Outdoor & Sports,Sports Products,0.86,OUT-040,,,,
Logoline,Collection + Category + SubCategory,Lifestyle / Bat & Balls,LL3114,Action Paddle / Bat & Ball Set,auto_mapped_by_keyword,Outdoor & Sports,Sports Products,0.86,OUT-040,,,,
Logoline,Collection + Category + SubCategory,Lifestyle / Bat & Balls,LL8349,The Courtside Carry,needs_review,,,,,no high-confidence keyword match,,,
Logoline,Collection + Category + SubCategory,Lifestyle / Fans,LL4408,Heatwave Fan,auto_mapped_by_keyword,Outdoor & Sports,Supporter Gear,0.78,OUT-090,,,,Use for handheld/supporter fans; review if powered fan.
Logoline,Collection + Category + SubCategory,Lifestyle / Fans,LL4409,Sirocco Fan,auto_mapped_by_keyword,Outdoor & Sports,Supporter Gear,0.78,OUT-090,,,,Use for handheld/supporter fans; review if powered fan.
Logoline,Collection + Category + SubCategory,Lifestyle / Fans,LL8038,Blast Fan,auto_mapped_by_keyword,Outdoor & Sports,Supporter Gear,0.78,OUT-090,,,,Use for handheld/supporter fans; review if powered fan.
Logoline,Collection + Category + SubCategory,Lifestyle / Fans,LN8040,Breeze Fan,auto_mapped_by_keyword,Outdoor & Sports,Supporter Gear,0.78,OUT-090,,,,Use for handheld/supporter fans; review if powered fan.
Logoline,Collection + Category + SubCategory,Lifestyle / Gift Sets,LL6000,Summer Beach Pack,needs_review,,,,,gift set/hamper/pack needs manual bundle strategy,,,
Logoline,Collection + Category + SubCategory,Lifestyle / Gift Sets,LL6004,Gold Coast Pack,needs_review,,,,,gift set/hamper/pack needs manual bundle strategy,,,
Logoline,Collection + Category + SubCategory,Lifestyle / Gift Sets,LL6011,Bondi Beach Kit,needs_review,,,,,gift set/hamper/pack needs manual bundle strategy,,,
Logoline,Collection + Category + SubCategory,Lifestyle / Gift Sets,LL6012,Coogee Beach Kit,needs_review,,,,,gift set/hamper/pack needs manual bundle strategy,,,
Logoline,Collection + Category + SubCategory,Lifestyle / Gift Sets,LL8288,Adventure Pack,needs_review,,,,,gift set/hamper/pack needs manual bundle strategy,,,
Logoline,Collection + Category + SubCategory,Lifestyle / Gift Sets,LL8291,Flinders Reusable Kit,needs_review,,,,,gift set/hamper/pack needs manual bundle strategy,,,
Logoline,Collection + Category + SubCategory,Lifestyle / Gift Sets,LL8295,Active Living Pack,needs_review,,,,,gift set/hamper/pack needs manual bundle strategy,,,
Logoline,Collection + Category + SubCategory,Lifestyle / Gift Sets,LL8296,Bondi Beach Pack,needs_review,,,,,gift set/hamper/pack needs manual bundle strategy,,,
Logoline,Collection + Category + SubCategory,Lifestyle / Gift Sets,LL8298,Tradie Pack,needs_review,,,,,gift set/hamper/pack needs manual bundle strategy,,,
