product_code,product_name,product_url
PS5112,Snazzy Crew Sublimated Socks,https://www.intexglobal.com/product/crew-sublimated-socks/
PS5103,Snazzy Crew Gripper Socks,https://www.intexglobal.com/product/crew-gripper-socks/
PS5110,Snazzy Knee High Jacquard Socks,https://www.intexglobal.com/product/knee-high-jacquard-socks/
PS5102,Snazzy Custom Short Gripper Socks,https://www.intexglobal.com/product/custom-short-gripper-socks/
PS5111,Snazzy Ankle Cut Jacquard Socks,https://www.intexglobal.com/product/ankle-cut-jacquard-socks/
BB5005,Bell 3-In-1 Copper Vacuum Bottle Kit 950ml,https://www.intexglobal.com/product/1l-stainless-steel-double-wall-bottle-with-3-lids/
PS2028,1L Stainless Steel Thermos with Silicone Handle,https://www.intexglobal.com/product/1l-stainless-steel-thermos-with-silicone-handle/
OCT100LS,Women's Essential Tees,https://www.intexglobal.com/product/womens-essential-tees/
OCT500MS,Redland Cotton Tee,https://www.intexglobal.com/product/redland-cotton-tee/
OCT200MS,Men’s Urban Chill,https://www.intexglobal.com/?post_type=product&p=5279
OCT300MS,Men's Marvel Tee,https://www.intexglobal.com/?post_type=product&p=5280
OCT400MS,Long Sleeve T-Shirt,https://www.intexglobal.com/?post_type=product&p=5281
OCSG100MS,Men's Singlet,https://www.intexglobal.com/?post_type=product&p=5282
OCSG200MS,Men's Tank Top,https://www.intexglobal.com/?post_type=product&p=5283
OCH100,Eagle Hoodie,https://www.intexglobal.com/product/eagle-hoodie/
OCH200,Celtic Full-Zip Hoodie,https://www.intexglobal.com/product/celtic-full-zip-hoodie/
OCH300,Clipper Hoodie,https://www.intexglobal.com/product/clipper-hoodie/
5001,Hunter 5 Panel Foam/Polyester Trucker Cap with Mesh Back,https://www.intexglobal.com/product/hunter/
5002,Alpine 6 Panel Brushed Twill Cap,https://www.intexglobal.com/product/alpine/
5003,Arrow 6 Panel Recycled Polyester Jaquard Eco Cap,https://www.intexglobal.com/product/arrow/
5004,Bay 6 Panel Cotton Cap with Metal Buckle,https://www.intexglobal.com/product/bay/
5005,"Peak 6 Panel Polyester Cap with Flat Visor, Perforated Sides",https://www.intexglobal.com/product/peak/
5006,Everett 6 Panel Two Tone Polyester Cap,https://www.intexglobal.com/product/everett/
5007,Stone 6 Panel Chino Cotton Twill Cap,https://www.intexglobal.com/product/stone/
5008,Scout 5 Panel Military Style Cotton Twill Cap,https://www.intexglobal.com/product/scout/
5009,Forest Chino Cotton Twill Bucket Hat,https://www.intexglobal.com/product/forest/
5010,Woody 6 Panel PolyCotton Trucker Cap with Mesh Back,https://www.intexglobal.com/product/woody/
