supplier_sku,name,unmatched_positions,PrintArea,PriceLines
LL0199,Tasktamer Desk Mat,Digital Transfer: ,Sublimation - White Mat Only: 750 x 300mm (LxW); Screen Print: 320 x 210mm (LxW); Digital Transfer: 210 x 297mm or 180 x 90mm (LxW),1 Pos Screen Print | 1 Pos Digital Transfer - 180 x 90mm (LxW) | 1 Pos Digital Transfer - 210 x 297mm (LxW) | 1 Pos Dye Sublimation - White Mat Only | Variable Data - Digital Transfer or Sublimation
LL0439,Kick Coffee Cup / Silicone Band,Digital Print: Sleeve,"Screenprint: Silicone Sleeve - 75 x 38mm (LxH),  Silicone Sleeve Wrap Print - 220 x 38mm (LxH); Digital Print: Sleeve - 490 x 95mm (LxH)",1 Col 1 Pos Print | Natural Gift Box | Natural Gift Box + Digital Sleeve | Variable Data - Digital Sleeve
LL0443,Kick Cup Crystal / Silicone Band,Digital Print: Sleeve,"Screenprint: Silicone Sleeve - 75 x 38mm (LxH),  Silicone Sleeve Wrap Print - 220 x 38mm (LxH); Digital Print: Sleeve - 490 x 95mm (LxH)",1 Col 1 Pos Print | Natural Gift Box | Natural Gift Box + Digital Sleeve | Variable Data - Digital Sleeve
LL0444,Kick Coffee Cup with Jelly Beans,Digital Print: Sleeve,"Digital Label: Jelly Beans - 50 x 50mm (LxH), 45mm Dia, 55 x 30mm (LxH); Screenprint: Silicone Sleeve - 75 x 38mm (LxH) ,  Silicone Sleeve Wrap Print - 220 x 38mm (LxH); Digital Print: Sleeve - 490 x 95mm (LxH)",2 Pos Print (1 Screen Print + 1 Digital Label) | 1 Col 1 Pos Print on Silicone Band | Digital Label on Jelly Beans | Natural Gift Box | Natural Gift Box + Digital Sleeve | Digital Sleeve with Variable Data
LL0453,Kick Eco Coffee Cup / Silicone Band,Digital Print: Sleeve,"Screenprint: Silicone Sleeve - 75 x 38mm (LxH),  Silicone Sleeve Wrap Print - 220 x 38mm (LxH); Digital Print: Sleeve - 490 x 95mm (LxH)",1 Col 1 Pos Print | Natural Gift Box | Natural Gift Box + Digital Sleeve | Variable Data - Digital Sleeve
LL0519,Nova Power Bank,Digital Print: Standard Power Bank; Digital Print: Power Bank; Screen Print: Case - Front/Back,"Digital Print: Standard Power Bank - 70 x 50mm (LxH),  Edge to edge Power Bank - 135 x 67mm (LxH),  Power Bank - 60 x 50mm (LxH),  Case - 60 x 50mm (LxH),  Sleeve - full coverage; Digital Label: Box - 90 x 45mm (LxH),  Box - Full name only for variable data identification - 30 x 55mm (LxH); Screenprint: Case - Front/Back - 100 x 50mm (LxH)","1 Pos Digital Print | 1 Pos Digital Print - Edge to Edge | 1 Pos Digital Label on Box | LL6674 Medium EVA Zipper Case 1 Col 1 Pos | LL6674 Medium EVA Zipper Case 1 Pos Digital | Digital Sleeve on Box | Variable Data - Digital Print, Digital Sleeve or Label with ID Label on Box"
LL0944,Tourist A5 Notebook,Digital Label: Front,"Screen Print (Max 1 colour print): Front or Back - 100 x 178mm (LxW); Digital Label: Front - 71mm Dia.,  Inside Front Cover - 93.1 x 99.1mm (LxW)",1 Col 1 Pos Print | 1 Col 2 Pos Print | 1 Pos Digital Label on Front Cover | Variable Data - Digital Label | 1 Pos Label on Inside Front Cover
LL0950,Savannah Notebook,Digital Label: Front of Notebook; Digital Label: Front of Notebook; Digital Label: Front of Notebook,"Screenprint: Front of Notebook - 80 x 110mm (LxH),  Back of Notebook - 60 x 100mm (LxH); Digital Label: Front of Notebook - 45mm Dia. ,  Front of Notebook -  50 x 50mm (LxH),  Front of Notebook -  70 x 40mm (LxH),  Inside Front Cover - 65 x 95mm (LxH); Digital Print: Front of Notebook - 70 x 80mm (LxH) ,  Back of Notebook - 90 x 140mm (LxW)",1 Col 1 Pos Print | 1 Col 2 Pos Print | 1 Pos Digital Print | 2 Pos Digital Print | 1 Pos Digital Label on Front Cover | Variable Data - Digital Print or Label with ID Label | 1 Pos Label on Inside Front Cover
LL0997,Eagle Coffee Cup,Rotary Screen Print: ,Digital Print: 30mm x 55mm (LxW); Laser Engrave:  30mm x 55mm (LxW); Rotary Digital: 252mm x 65mm (LxW); Rotary Screen Print: 230mm x 60mm (LxW); Digital Sleeve: Digital Sleeve on Box - 358 x 160mm (LxW),"Rotary Screen Print | 1 Pos Digital Print | 1 Pos Laser Engrave | Rotary Digital Print | Rotary Digital Print - Gloss | Variable Data - Digital Print, Digital Sleeve or Laser Engrave with ID Label on Box | Variable Data - Rotary Digital Print with ID Label on Box"
LL1023,Rizz Coffee Cup,Rotary Screen Print: ,Laser Engrave: 30mm x 70mm (LxW); Rotary Screen Print: 230mm x 70mm (LxW); Rotary Digital: 273mm x 90mm (LxW); Digital Print: 30mm x 70mm (LxW),1 Col Rotary Screen Print | 1 Pos Laser Engrave | 1 Pos Digital Print | Rotary Digital Print | Rotary Digital Print - Gloss | Variable Data - Digital Print or Laser Engrave with ID Label on Box | Variable Data - Rotary Digital Print with ID Label on Box
LL115,Stratos Cardboard Pen,Pad Print: Barrel; Roll Print: Barrel,"Pad Print: Barrel - 55 x 6mm (LxH),  Pen Sleeve - 55 x 20mm (LxH); Digital Print: Barrel - 55 x 6mm (LxH); Roll Print: Barrel - 55 x 20mm (LxH)",1 Col 1 Pos Print | 1 Col 2 Pos Print | 1 Pos Digital Print | 2 Pos Digital Print | Variable Data - Digital Print | 1 Col Roll Print | LL02 Pouch with Pen Inserted | LL02 Pouch Bulk | LL0512 Cardboard Sleeve with Pen inserted | 1 Col Print on Pen Sleeve | LL0501 Black Cardboard Pen Box with Pen inserted
LL1410,Zig Zag RPET Microfibre Lens Cloth,Digital Sleeve: ,Dye Sublimation: Cloth - 150 x 150mm (LxH); Digital Sleeve: 178L x 253.6mm (LxH) ; Digital Label: Zippered Pouch - Front/Back - 45mm Diameter; Pad Print: Black Cardboard Pouch - 40 x 20mm (LxW),1 Pos Dye Sublimation | Zippered Pouch | Digital Sleeve on Lens Cloth | 1 Pos Label on Zippered Pouch | Variable Data - Dye Sublimation | Black Cardboard Pouch with Lens Cloth Inserted | 1 Col 1 Pos Pad Print on Black Cardboard Pouch
LL201,Skol Bottle Opener / Keytag,Pad Print with Epoxy Dome Resin: Top; Digital Print with Epoxy Dome Resin: Top,Pad Print with Epoxy Dome Resin: Top - 45 x 9mm (LxH); Laser Engraved - Natural Metal Finish: Top - 40 x 8mm (LxH); Digital Print with Epoxy Dome Resin: Top - 45 x 9mm (LxH),1 Col 1 Pos Print + Epoxy Dome Resin | 2 Col 1 Pos Print + Epoxy Dome Resin | 1 Pos Laser Engraved | Digital Print + Epoxy Dome Resin | Variable Data - Laser Engraving
LL205,Cheers Bottle Opener / Keytag,Pad Print with Epoxy Dome Resin: Top; Digital Print with Epoxy Dome Resin: Top,Pad Print with Epoxy Dome Resin: Top - 40 x 8mm (LxH); Laser Engraved: Top - 40 x 8mm (LxH); Digital Print with Epoxy Dome Resin: Top - 40 x 8mm (LxH),1 Col 1 Pos Print + Epoxy Dome Resin | 2 Col 1 Pos Print + Epoxy Dome Resin | Digital Print + Epoxy Dome Resin | 1 Pos Laser Engraved | Variable Data - Laser Engraved
LL21343,Oxford Stationery Set,Screen Print: Front/Back,Screen Print: Front/Back -150 x 40mm (LxH); Digital Transfer: Front/Back - 150 x 40mm (LxH),1 Col 1 Pos Print | 2 Col 1 Pos Print | 1 Col 2 Pos Print | 1 Pos Digital Transfer | Variable Data - Digital Transfer
LL22,Chippy Carpenters Pencil,Screen Print: Front/Back,Pad Print: Front/Back - 60 x 8mm (LxH); Digital Print: Front/Back - 160 x 8mm (LxH); Screenprint: Front/Back -  160 x 8mm (LxH),1 Pos Pad Print Per Colour | 2 Pos Pad Print Per Colour | 1 Col 1 Pos Screenprint | 1 Col 2 Pos Screenprint | 1 Pos Digital Print | Variable Data - Digital Print with ID Label
LL2349,Monte Vacuum Flask,Rotary Screen Print: ,"Rotary Screen Print: 200mm x 110mm (LxH); Laser Engrave: 30 x 60mm (LxH); Digital Print: 30mm x 60mm (LxH),  Box Sleeve - 202mm x 113mm (LxH); Rotary Digital Print: 229.3mm x 120mm (LxH)",1 Col Rotary Screen Print | 1 Pos Laser Engrave | 1 Pos Digital Print | Rotary Digital Print | Rotary Digital Print - Gloss | Variable Data - Digital Print or Laser Engrave with ID Label on Box | Variable Data - Rotary Digital Print | Digital Sleeve on Box
LL2359,Lively Tote Bag,Digital Transfer: Front/Back; Digital Transfer: Front/Back,"Screen Print: 300mm x 250mm (LxW); Digital Transfer: Front/Back - 210 x 297mm (LxH) - Lrg,  Front/Back - 200 x 250mm (LxH) - Sml",1 Col 1 Pos Print | 1 Col 2 Pos Print | 1 Pos Digital Transfer - Sml | 2 Pos Digital Transfer - Sml | 1 Pos Digital Transfer - Lrg | 2 Pos Digital Transfer - Lrg | Extra Colour Print Per Side | Variable Data - Digital Transfer
LL2363,Splendid Canvas Bag,Digital Transfer: Front/Back; Digital Transfer: Inside Pocket,"Screen Print: Front/Back - 220 x 200mm (WxH); Digital Transfer: Front/Back - 250 x 200mm (WxH),  Inside Pocket - 120 x 100mm (WxH)",1 Pos Screen Print Per Colour | 2 Pos Screen Print Per Colour | 1 Pos Digital Transfer - Sml | 1 Pos Digital Transfer - Lrg | 2 Pos Digital Transfer - Lrg | Variable Data - Digital Transfer
LL30193,Honey Plush Teddy Bear,Screen Print: Front,Screen Print: Front - 40 x 30mm (LxH); Digital Transfer: Front - 40 x 30mm (LxH),1 Col 1 Pos Print on T-Shirt | Digital Transfer on T-Shirt | Custom Colour T-Shirt 1 Col 1 Pos Print | Custom Colour T-Shirt 2 Col 1 Pos Print | Variable Data - Digital Transfer
LL3036,Vanilla Reed Diffuser,Digital Print: Cardboard Tube,"Label: Diffuser Bottle - 55 x 30mm (WxH),  Cardboard Tube: 40 x 70mm (WxH) or 50 x 50mm (WxH)  ; Pad Print: Cardboard Tube - 25 x 50mm (WxH); Digital Print: Cardboard Tube - 25 x 100mm (WxH)",1 Pos Label | 2 Pos Label | 1 Col 1 Pos Pad Print
LL3114,Action Paddle / Bat & Ball Set,Screen Print: ; Digital Label: ,Screen Print: 150mm Dia.; Digital Label: 150mm Dia.,1 Col 2 Pos Print | 1 Col 4 Pos Print | 2 Position Digital Label | 4 Position Digital Label | Digital Variable Data Bat & Ball Set - Side 1 | Digital Variable Data Bat & Ball Set - Side 2
LL31474,Assorted Colour Jelly Beans in 50g Box,Wrap Digital Label: Front - Top cut to,"Wrap Digital Label: Front - Top cut to 50 x 50mm (LxH),  Total label size, including ingredients and wrap around band - 50 x 172m (LxH)",Digital Wrap Label
LL31476,Corporate Colour Jelly Beans in 50g Box,Wrap Digital Label: Front - Top cut to,"Wrap Digital Label: Front - Top cut to 50 x 50mm (LxH),  Total label size, including ingredients and wrap around band - 50 x 172mm (LxH)",Digital Wrap Label
LL33015,M&M's in Pillow Pack,Digital Label: Front; Digital Label: Front; Digital Label: Front; Die Cut Digital Label: Wrap around band,"Undecorated Filled: Statutory info - Label - 41 x 41mm (LxH); Digital Label: Front - 50 x 50mm (LxH),  Front - 45mm Dia.,  Front - 55 x 30mm (LxH); Die Cut Digital Label: Front - Top cut to any shape to maximum size of 50 x 50mm (LxH),  Wrap around band 15 x 154mm (LxH) (Refer Line Drawing)",1 Pos Digital Label | 1 Pos Die Cut Digital Label
LL33018,M&M's in 50g Box,Wrap Digital Label: Front - Top cut to,"Wrap Digital Label: Front - Top cut to 50 x 50mm (LxH),  Total label size, including ingredients and wrap around band - 50 x 172mm (LxH)",Digital Wrap Label
LL3486,Villa Cork Round Coaster - Set of 4,Screen Print: Coaster,Screenprint: Coaster - 80mmDia,1 Col 4 Position Print
LL3487,Villa Cork Square Coaster - Set of 4,Screen Print: Coaster,Screenprint: Coaster - 80 x 80mm (LxH),1 Col 4 Position Print
LL3516,Tropic Bamboo Coasters Set of 6,Laser Engrave: ; Pad Print: ,"Laser Engraved: 55 x 55mm (LxH); Digital Print: 90 x 90mm (LxH),  Sleeve - 321 x 107 (LxH); Pad Print: 55 x 55mm (LxH)","1 Col 6 Position Print (each coaster) | Laser Engraved 6 Positions (each coaster) | Digital Print 6 Positions (each coaster) | Digital Sleeve on Box | Variable Data - Digital Print, Digital Sleeve or Laser Engrave with ID Label on Box"
LL410,Summer Car Sun Shade,Screen Print: Sun Shade Panel/s; Screen Print: Sun Shade Pouch,"Screen Print (Max 1 Colour Print): Sun Shade Panel/s - 500mm Diameter,  (larger design may be possible, submit for acceptance),  Sun Shade Pouch - 145mm Diameter",1 Col 1 Pos (1 Panel) | 1 Col 2 Pos (2 Panels) | 1 Col 2 Pos (1 Panel + Pouch) | 1 Col 3 Pos (2 Panels + Pouch)
LL419,Assorted Jelly Party Mix in Pillow Pack,Digitial Label: Front; Die Cut Digital Label: Wrap around band,"Digitial Label: Front - 50 x 50mm (LxH), 45mm Dia, 55 x 30mm ; Die Cut Digital Label: Front - Top cut to any shape to a maximum size of 50mmL x 50mmH,  Wrap around band 15 x 154mm (LxH) (Refer Line Drawing); Undecorated filled: Statutory Ingredients information pre-printed onto cello bag",1 Pos Digital Label | 1 Pos Digital Die Cut Label
LL426,Assorted Flavour Fruit Rings,Paper Label: Label Size; Paper Label: Actual Print Size,"Paper Label: Label Size - 80 x 80mm (LxH),  Actual Print Size - 80 x 60mm (LxH)",4CP Digital Full Wrap Label on Fruit Rings
LL4329,Lumi Rechargeable Torch,Pad Print: ; Laser Engrave: ,Pad Print: 30 x 10mm (LxW); Laser Engrave: 30 x 10mm (LxW); Digital Sleeve: Box - 372 x 220mm (LxW); Screen Print: Box - 100 x 60mm (LxW),1 Pos Pad Print on Torch | 2 Pos Pad Print on Torch | 1 Pos Laser Engrave on Torch | 2 Pos Laser Engrave on Torch | Digital Sleeve on Box | 1 Col 1 Pos Print on Gift Box
LL4628,Adore Pencil Case,Screen Print: Front/Back,Screen Print: Front/Back - 150 x 40mm (LxH); Digital Transfer: Front/Back - 150 x 40mm (LxH),1 Col 1 Pos Print | 2 Col 1 Pos Print | 1 Col 2 Pos Print | Digital Transfer 1 Pos | Digital Transfer 2 Pos | Variable Data - Digital Transfer
LL4834,Digital Luggage Scales,1 Col 1 Pos Print: Front,1 Col 1 Pos Print: Front - 45mm x 20mm (LxH); 1 Pos Digital Print: Front - 45mm x 20mm (LxH),1 Pos Pad Print | 1 Pos Digital Print
LL4846,Assorted Colour Mini Jelly Beans in Pillow Pack,Digital Label: Front; Die Cut Digital Label: Wrap around band,"Undecorated Filled: Statutory info - Label - 33 x 33mm (LxH); Digital Label: Front - 50 x 50mm (LxH), 55 x 30mm (LxH), 45mm Diameter; Die Cut Digital Label: Front - Top cut to any shape to maximum size of 50 x 50mm (LxH),  Wrap around band 15 x 154mm (LxH) (Refer Line Drawing)",1 Pos Digital Label | 1 Pos Die Cut Digital Label
LL4866,Corporate Colour Mini Jelly Beans in Pillow Pack,Digital Label: ; Die Cut Digital Label: Wrap around band,"Undecorated Filled: Statutory info - Label - 33 x 33mm (LxH); Digital Label: 50 x 50mm (LxH), 55 x 30mm (LxH), 45mm Dia. ; Die Cut Digital Label: Front - Top cut to any shape to maximum size of 50mmL x 50mmH,  Wrap around band 15 x 154mm (LxH) (Refer Line Drawing)",1 Pos Digital Label | 1 Pos Die Cut Digital Label
LL500,Calico Short Handle Bag,Digital Transfer: Front/Back; Digital Transfer: Front/Back,"Screenprint: Front/Back - 290 x 320mm (LxH); Digital Transfer: Front/Back - 210 x 297mm (LxH) - Lrg,  Front/Back - 200 x 250mm (LxH) - Sml",1 Col 1 Pos Print | 1 Col 2 Pos Print | 1 Pos Digital Transfer - Sml | 2 Pos Digital Transfer - Sml | 1 Pos Digital Transfer - Lrg | 2 Pos Digital Transfer - Lrg | Extra Colour Print Per Side | Variable Data - Digital Transfer
LL502,Enviro Supa Shopper Short Handle Bag,Digital Transfer: Front/Back; Digital Transfer: Front/Back,"Screen Print: Front/Back - 290 x 320mm (LxH); Digital Transfer: Front/Back - 210 x 297mm (LxH) - Lrg,  Front/Back - 200 x 250mm (LxH) - Sml",1 Col 1 Pos Print | 1 Col 2 Pos Print | 1 Pos Digital Transfer - Sml | 2 Pos Digital Transfer - Sml | 1 Pos Digital Transfer - Lrg | Extra Colour Print Per Side | Variable Data - Digital Transfer
LL503,Supa Shopper Short Handle Calico Bag,Nucolour Digital Transfer: Front/Back; Nucolour Digital Transfer: Front/Back,"Screen Print:  Front/Back - 290 x 320mm (LxH); Nucolour Digital Transfer: Front/Back - 297 x 210mm (LxH) - Lrg,  Front/Back - 200 x 250mm (LxH) - Sml",1 Col 1 Pos Print | 1 Col 2 Pos Print | 1 Pos Digital Transfer - Sml | 2 Pos Digital Transfer - Sml | 1 Pos Digital Transfer - Lrg | 2 Pos Digital Transfer - Lrg | Extra Colour Print Per Side | Variable Data - Digital Transfer
LL506,Calico Drawstring Library Backpack,Digital Transfer: Front/Back; Digital Transfer: Front/Back,"Screen Print: Front/Back - 280 x 280mm (LxH); Digital Transfer: Front/Back - 210 x 297mm (LxH) - Lrg,  Front/Back - 200 x 250mm (LxH) - Sml",1 Col 1 Pos Print | 1 Col 2 Pos Print | 1 Pos Digital Transfer - Sml | 2 Pos Digital Transfer - Sml | 1 Pos Digital Transfer - Lrg | 2 Pos Digital Transfer - Lrg | Extra Colour Print Per Side | Variable Data - Digital Transfer
LL509,Coloured Cotton Short Handle Tote Bag,Digital Transfer: Front/Back; Digital Transfer: Front/Back,"Screen Print: Front/Back - 290 x 320mm (LxH); Digital Transfer: Front/Back - 210 x 297mm (LxH) - Lrg,  Front/Back - 200 x 250mm (LxH) - Sml",1 Col 1 Pos Print | 1 Col 2 Pos Print | 1 Pos Digital Transfer - Sml | 2 Pos Digital Transfer - Sml | 1 Pos Digital Transfer - Lrg | 2 Pos Digital Transfer - Lrg | Extra Colour Print Per Side | Dark Bags - additional White print under design (required for light colour prints) | Variable Data - Digital Transfer
LL5093,Venture Bondi Notebook / Austin Pen,Screen Print: Notebook; Pad Print: Non clip side; Pad Print: Clip side,"Screenprint: Notebook - 110 x 80mm (LxH); Digital Print: Notebook - 100 x 150mm (LxH),  Pen -  50 x 6mm (LxH),  Sleeve - 45 x 439mm (LxH); Pad Print: Non clip side - 60 x 7mm (LxH),  Clip side - 40 x 7mm (LxH); Laser Engraved: Pen - 50 x 6mm (LxH)",1 Pos Screen Print Per Colour | 1 Pos Digital Print Notebook | 1 Pos Pad Print Per Colour Pen | 1 Pos Digital Print Pen | 1 Pos Laser Engraved Pen | Digital Sleeve on Notebook Cover | Variable Data - Digital Print or Digital Sleeve with ID Label
LL510,Coloured Cotton Long Handle Bag,Digital Transfer: Front/Back; Digital Transfer: Front/Back,"Screen Print: Front/Back - 290 x 320mm (LxH); Digital Transfer: Front/Back - 210 x 297mm (LxH) - Lrg,  Front/Back - 200 x 250mm (LxH) - Sml",1 Col 1 Pos Print | 1 Col 2 Pos Print | 1 Pos Digital Transfer - Sml | 2 Pos Digital Transfer - Sml | 1 Pos Digital Transfer - Lrg | 2 Pos Digital Transfer- Lrg | Extra Colour Print Per Side | Dark Bags - additional White print under design (required for light colour prints) | Variable Data - Digital Transfer
LL512,Calico Long Handle Bag,Digital Transfer: Front/Back; Digital Transfer: Front/Back,"Screen Print: Front/Back - 290 x 320 mm (LxH); Digital Transfer: Front/Back - 210 x 297mm (LxH) - Lrg,  Front/Back - 200 x 250mm (LxH) - Sml",1 Col 1 Pos Print | 1 Col 2 Pos Print | 1 Pos Digital Transfer - Sml | 2 Pos Digital Transfer - Sml | 1 Pos Digital Transfer - Lrg | 2 Pos Digital Transfer - Lrg | Extra Colour Print Per Side | Variable Data - Digital Transfer
LL514,Short Handle Bamboo Bag,Digital Transfer: Front/Back; Digital Transfer: Front/Back,"Screen Print: Front/Back - 290 x 320mm (L xH); Digital Transfer: Front/Back - 210 x 297mm (LxH) - Lrg,  Front/Back - 200 x 250mm (LxH) - Sml",1 Col 1 Pos Print | 1 Col 2 Pos Print | 1 Pos Digital Transfer - Sml | 2 Pos Digital Transfer - Sml | 1 Pos Digital Transfer - Lrg | 2 Pos Digital Transfer - Lrg | Extra Colour Print Per Side | Variable Data - Digital Transfer
