supplier_sku,name,unmatched_positions,PrintArea,PriceLines
LL8313,The Happy Hour,Digital Sleeve: ; Digital Print: Customisable Card,Digital Sleeve: 190.5 x 730mm (LxW); Digital Transfer: Straw Pouch - 140 x 45mm (LxW); Laser Engrave: Glasses - 26 x 6mm (WxH); Label: Mailing Box - 120mm Diameter; Screen Print: Gift Box - 290 x 150mm (LxW); Digital Print: Customisable Card - 138 x 95mm (LxH),The Happy Hour | Digital Sleeve on Gift Box | Digital Transfer on Straw Pouches (2 x Calico Pouches) | Laser Engrave on Glasses (2 x Glasses) | 1 Pos Label on Mailing Carton | 1 Col 1 Pos Screen Print on Gift Box | Customisable Card
LL8315,The Host Edit,Digital Sleeve: ; Digital Print: Customisable Card,"Digital Sleeve: 190.5 x 730mm (LxW); Laser Engrave: Cheeseboard - 45 x 10mm (LxW); Screen Print: Front of Candle - 50 x 50mm (LxW),  Gift Box - 290 x 150mm (LxW); Label: Mailing Box - 120mm Diameter; Digital Print: Customisable Card - 138 x 95mm (LxH),  Candle Lid - 55mm Diameter","The Host Edit | Digital Sleeve on Gift Box | 1 Col 1 Pos Print on Front of Candle | 1 Pos Laser Engrave on Serving Board | 1 Pos Digital Print on Lid on Candle | 1 Pos Label on Mailing Carton | 1 Col 1 Pos Screen Print on Gift Box | Customisable Card | Variable Data - Customisable Card, Label, Digital Print, Laser Engrave or Digital Sleeve with ID Label on Shipping Box"
LL8319,The Nibble Set,Digital Sleeve: ; Digital Print: Customisable Card,Digital Sleeve: 190.5 x 730mm (LxW); Laser Engrave: Cheeseboard - 45 x 10mm (LxW); Label: Mailing Box - 120mm Diameter; Screen Print: Gift Box - 290 x 150mm (LxW); Digital Print: Customisable Card - 138 x 95mm (LxH),"The Nibble Set | Digital Sleeve on Gift Box | 1 Pos Laser Engrave on Serving Board | 1 Pos Label on Mailing Carton | 1 Col 1 Pos Screen Print on Gift Box | Customisable Card | Variable Data - Customisable Card, Label, Laser Engrave or Digital Sleeve with ID Label on Shipping Box"
LL8327,The Chandon Escape,Laser Engrave: Cheeseboard,"Digital Transfer: Cooler Bag Pouch - 110mm x 70mm (LxH); Laser Engrave: Cheeseboard - 45 x 10mm (LxH),  Glass - 28mmL x 8mmH; Digital Print: Customisable Card - 138 x 95mm (LxH); Label: Mailing Carton - 120mm Diameter; Imitation Etch: Glass - 28mmL x 10mmH","The Chandon Escape | Digital Transfer on Front of Cooler Pocket | Imitation Etch on Glasses - (2 Glasses) | Laser Engrave on Glasses - (2 Glasses) | 1 Pos Laser Engrave on Serving Board | 1 Pos Label on Mailing Carton | Customisable Card | Variable Data - Customisable Card, Digital Transfer, Label or Laser Engrave with ID Label on Shipping Box"
LL8329,The Sunchaser Set,Digital Label: Customisable Card,"Digital Transfer: Bag - 297 x 210mm (LxW),  Bag Pouch - 120 x 50mm (LxW),  Pickleball Pouch - 150 x 150mm (LxW); Laser Engrave: Cheeseboard - 45 x 10mm (LxH); Digital Label: Bat - 150mm Diameter,  Mailing Carton - 120mm Diameter,  Customisable Card - 138 x 95mm (LxH)","The Sunchaser Set | Digital Transfer on Tote Bag | 1 Pos Digital Transfer on Tote Pouch | 1 Pos Laser Engrave on Serving Board | 1 Pos Digital Transfer on Pickleball Pouch | 1 Pos Digital Label on  Bat from Pickleball Set | Customisable Card | 1 Pos Label on Mailing Carton | Variable Data - Customisable Card, Digital Transfer, Label or Laser Engrave with ID Label on Shipping Box"
LL8331,Glow & Graze,Digital Sleeve: ,"Digital Sleeve: 190.5 x 730mm (LxW); Laser Engrave: Cheeseboard - 45 x 10mm (LxH); Screen Print: Front of Candle - 50 x 50mm (LxW),  Gift Box - 290 x 150mm (LxW); Label: Mailing Box - 120mm Diameter,  Customisable Card - 138 x 95mm (LxH)","Glow & Graze | Digital Sleeve on Gift Box | 1 Col 1 Pos Print on Front of Candle | 1 Pos Laser Engrave on Serving Board | 1 Pos Label on Mailing Carton | 1 Col 1 Pos Screen Print on Gift Box | Customisable Card | Variable Data - Customisable Card, Label, Laser Engrave or Digital Sleeve with ID Label on Shipping Box"
LL8339,The Brew Ritual,Digital Sleeve: ; Digital Print: Customisable Card,"Screen Print: Front of Candle - 50 x 50mm (LxW),  Gift Box - 290 x 150mm (LxW); Pad Print: Mug - 45 x 45mm (LxH); Digital Sleeve: 190.5 x 730mm (LxW); Label: Mailing Box - 120mm Diameter; Digital Print: Customisable Card - 148 x 105mm (LxH)","The Brew Ritual | Digital Sleeve on Gift Box | 1 Col 1 Pos Screen Print on Front of Candle | 1 Pos Label on Mailing Carton | 1 Pos Pad Print Per Colour on Mug | 1 Col 1 Pos Screen Print on Gift Box | Customisable Card | Variable Data - Customisable Card, Label or Digital Sleeve with ID Label on Shipping Box"
LL8341,The Refined Graze,Laser Engrave: Cheeseboard,"Digital Transfer: Cooler Bag Pouch - 110mm x 70mm (LxH); Laser Engrave: Cheeseboard - 45 x 10mm (LxH),  Glass - 28mmL x 8mmH; Digital Print: Customisable Card - 138 x 95mm (LxH); Label: Mailing Carton - 120mm Diameter; Imitation Etch: Glass - 28mmL x 10mmH","The Refined Graze | Digital Transfer on Front of Cooler Pocket | Imitation Etch on Glasses - (2 Glasses) | Laser Engrave on Glasses - (2 Glasses) | 1 Pos Laser Engrave on Serving Board | 1 Pos Label on Mailing Carton | Customisable Card | Variable Data - Customisable Card, Label or Laser Engrave with ID Label on Shipping Box"
LL8351,The Pause Pack,Digital Print: Customisable Card,"Digital Transfer: Cooler Bag - 130 x 140mm (LxH); Digital Print: Cup - 30mm x 70mm (LxH),  Customisable Card - 138 x 95mm (LxH); Label: Mailing Carton - 120mm Diameter","The Pause Pack | Digital Transfer Transfer on Cooler Bag | Customisable Card | 1 Pos Digital Print on Cup | 1 Pos Label on Mailing Carton | Variable Data - Customisable Card, Digital Transfer, Label or Digital Print with ID Label on Shipping Box | 2 Pos Print (1xDigital Transfer, 1 x Customisable Card)"
LL8353,The Classic Whisky Gift Set,Custom Gift Box Sleeve: ,"Custom Gift Box Sleeve: 190.5 x 730mm (LxW); Label: Mailing Carton - 120mm Diameter,  Customisable Card - 138 x 95mm (LxH); Screen Print: Gift Box - 290 x 150mm (LxW); Laser Engrave: Glasses - 26 x 6mm (WxH)","The Classic Whisky Gift Set | Digital Sleeve on Gift Box | 1 Pos Label on Mailing Carton | Laser Engrave on Glasses (2 x Glasses) | 1 Col 1 Pos Screen Print on Gift Box | Customisable Card | Variable Data - Customisable Card, Label, Laser Engrave or Digital Sleeve with ID Label on Shipping Box"
